No,Months since Last Donation,Number of Donations,Total Volume Donated (c.c.),Months since First Donation,Made Donation in March 2007
619,2,50,12500,98,yes
664,0,13,3250,28,yes
441,1,16,4000,35,yes
160,2,20,5000,45,yes
358,1,24,6000,77,no
335,4,4,1000,4,no
47,2,7,1750,14,yes
164,1,12,3000,35,no
736,5,46,11500,98,yes
436,0,3,750,4,no
460,2,10,2500,28,yes
285,1,13,3250,47,no
499,2,6,1500,15,yes
356,2,5,1250,11,yes
40,2,14,3500,48,yes
191,2,15,3750,49,yes
638,2,6,1500,15,yes
345,2,3,750,4,yes
463,2,3,750,4,yes
372,4,11,2750,28,no
8,2,6,1500,16,yes
539,2,6,1500,16,yes
734,4,14,3500,40,no
573,4,6,1500,14,no
482,4,8,2000,21,no
330,1,14,3500,58,no
222,4,10,2500,28,yes
175,4,10,2500,28,yes
606,2,16,4000,64,no
340,2,8,2000,28,yes
298,2,12,3000,47,yes
459,4,6,1500,16,yes
92,4,7,1750,22,yes
446,2,13,3250,53,yes
336,2,5,1250,16,no
403,2,5,1250,16,yes
286,2,5,1250,16,no
665,4,20,5000,69,yes
134,4,9,2250,28,yes
646,2,9,2250,36,no
391,2,2,500,2,no
471,2,2,500,2,no
377,2,2,500,2,no
712,2,11,2750,46,no
721,2,11,2750,46,yes
654,2,6,1500,22,no
332,4,5,1250,14,yes
740,4,19,4750,69,yes
612,4,8,2000,26,yes
502,2,7,1750,28,yes
479,3,6,1500,21,no
444,2,8,2000,35,yes
132,4,5,1250,16,yes
507,3,16,4000,74,no
718,2,4,1000,14,yes
214,0,2,500,4,no
146,4,7,1750,25,no
607,1,9,2250,51,no
591,2,4,1000,16,no
144,2,4,1000,16,no
652,4,17,4250,71,yes
45,2,2,500,4,no
395,2,2,500,4,yes
369,2,2,500,4,yes
490,2,4,1000,16,yes
66,2,2,500,4,no
448,2,2,500,4,no
380,2,4,1000,16,no
328,2,4,1000,16,no
485,2,4,1000,16,no
630,2,6,1500,28,yes
5,2,6,1500,28,no
546,4,2,500,4,no
54,4,2,500,4,no
445,2,7,1750,35,yes
510,4,2,500,4,yes
311,4,2,500,4,no
476,4,2,500,4,no
474,12,11,2750,23,no
527,3,17,4250,86,no
506,4,9,2250,38,yes
424,4,8,2000,34,yes
155,4,9,2250,40,no
94,2,5,1250,26,no
719,6,17,4250,70,no
676,0,8,2000,59,no
271,2,3,750,14,no
274,2,10,2500,64,no
535,4,9,2250,46,no
653,4,5,1250,23,no
493,4,8,2000,40,yes
279,2,12,3000,82,no
564,11,24,6000,64,no
656,2,7,1750,46,yes
386,4,11,2750,61,no
182,1,7,1750,57,no
212,2,11,2750,79,yes
667,2,3,750,16,yes
308,4,5,1250,26,yes
421,2,6,1500,41,yes
172,2,5,1250,33,yes
662,2,4,1000,26,no
284,2,5,1250,34,no
731,4,8,2000,46,yes
544,4,8,2000,48,yes
145,2,2,500,10,yes
747,4,5,1250,28,no
168,2,2,500,10,no
35,2,11,2750,88,no
81,2,3,750,19,no
594,2,5,1250,37,no
3,9,5,1250,19,no
687,2,2,500,11,no
29,2,9,2250,74,no
151,4,3,750,16,no
213,4,3,750,16,no
135,4,2,500,9,yes
472,6,3,750,14,no
51,2,2,500,11,no
705,2,2,500,11,yes
651,2,2,500,11,no
556,2,7,1750,58,yes
