st,rain-max,rain-avg,rain-sum,press-max,press-min,press-avg,RH-max,RH-avg,RH-min,temp-max,temp-avg,temp-min,wind-max,wind-avg,wind-min,NDVI,runoff,extreme,latitude,longitude,date,shape,loc,scale
3001,30.48514653,3.239902721,98.023508,1015.499472,1007.69162,1011.596496,95.76541,88.30603229,81.44628327,36.3328566,32.99930061,19.9872836,25.6007697,23.11325962,19.9872836,0.404204443,9.061098449,115.768468,14.9595,102.088,9/1/2020,-0.374310617,13.77211785,17.34078997
3002,37.21965902,3.995441642,120.9267344,1015.5862,1007.612289,1011.581887,96.81929003,89.23060715,78.6295685,36.04986709,32.85868039,20.3839313,39.62617611,23.97167617,20.3839313,0.743437865,9.7943444,137.0658897,14.3857,102.1992,9/1/2020,-0.001244101,23.5380083,22.77751816
3003,36.36287763,3.952075308,119.7425865,1015.667906,1007.515855,1011.582099,97.31551101,89.9379458,78.82018663,35.92425585,32.66720847,20.44601959,40.48271417,24.03010051,20.44601959,0.532041224,10.1942975,135.1764696,14.3447,102.492,9/1/2020,0.054608973,24.0326637,22.54570372
3004,34.97677779,3.725896841,112.9617353,1015.589829,1007.411753,1011.500957,96.64792781,88.42030062,77.2051864,35.55896327,32.19627572,21.47390579,59.47105728,25.74484813,21.47390579,0.565304095,9.267114502,102.4924515,15.4573,102.3339,9/1/2020,0.143797944,24.07072602,21.7874698
3005,34.56346378,3.591580438,109.095963,1015.585653,1007.355117,1011.45806,95.969059,86.88745701,75.07250854,35.6676058,32.18143177,22.06534217,69.79258881,26.71125079,22.06534217,0.558627113,10.59788696,109.6862327,15.5831,102.1524,9/1/2019,0.046601924,21.99919978,20.94866197
3006,35.88673036,3.855745895,116.8025114,1015.591271,1007.573847,1011.572811,96.80353653,89.2482888,78.96449305,36.01489133,32.75035325,20.43051278,39.13685368,24.02863845,20.43051278,0.545079796,8.769926378,128.9627113,14.9244,102.451,9/1/2020,0.033717215,23.22233986,22.21275959
3007,40.91771886,4.29817861,130.2975302,1015.541697,1007.74743,1011.607385,96.45896727,88.75970653,78.42626211,36.57560519,33.46875091,19.62226974,26.204217,22.81515892,19.62226974,0.514087282,12.85930334,158.6041388,14.7663,102.1992,9/1/2020,-0.242471945,20.45784862,23.51092644
3008,34.19379789,3.631445506,110.0842968,1015.558011,1007.550753,1011.548819,96.41891367,88.56540523,78.53513604,35.80577752,32.52169864,21.07128033,50.46377027,24.984516,21.07128033,0.571567993,9.780610519,115.2533105,15.1938,101.7484,9/1/2020,0.089757366,23.07720928,21.50906852
3009,33.76299385,3.587625602,108.5725455,1015.553525,1007.567298,1011.556217,96.33494404,88.53169396,79.15719278,35.92975065,32.64341187,20.69729144,43.62394225,24.3788404,20.69729144,0.63453736,8.568255241,114.3897778,15.2314,102.1077,9/1/2020,0.031254003,21.71478737,21.05356384
3010,34.33094741,3.663776097,111.1769878,1015.565047,1007.544683,1011.553082,96.52377311,88.73458621,78.92281086,35.86529758,32.5940275,20.74120236,44.98416116,24.46033361,20.74120236,0.527860291,7.332474773,114.9870458,15.2143,102.2783,9/1/2020,0.062313133,22.57597529,21.44012016
3011,34.4570656,3.671290356,111.2536478,1015.573898,1007.482708,1011.520145,96.42949467,88.33217273,77.93203485,35.73745463,32.37378852,21.15560691,53.46988488,25.29889118,21.15560691,0.587769141,8.860109512,107.911433,15.3559,102.1605,9/1/2020,0.099462215,23.14272277,21.47073723
3012,35.14040575,3.735387824,113.285403,1015.600629,1007.349599,1011.478525,96.64530318,88.31295497,76.67259161,35.42944363,32.01784509,21.76509632,66.14515846,26.26005684,21.76509632,0.542483866,10.8981379,97.50047637,15.6404,102.4049,9/1/2019,0.148251627,24.09827752,21.79365664
3013,35.6242277,3.838309856,116.3010162,1015.595735,1007.367756,1011.492939,97.2924907,89.36584238,77.84466235,35.29340957,32.00508021,21.43350073,62.77101022,25.81614644,21.43350073,0.630506614,10.38224598,97.217921,15.5714,102.7116,9/1/2020,0.205288752,25.33596536,22.33256712
3014,37.48943377,4.006132507,121.2001357,1015.5446,1007.689415,1011.59366,96.4523139,88.78854319,78.86657681,36.28418284,33.1486462,20.09951316,34.16936444,23.4750511,20.09951316,0.57263904,8.005247255,141.479329,14.6843,101.9767,9/1/2020,-0.064863962,22.34667785,22.84357364
3015,35.33571703,3.808169777,115.3744574,1015.595592,1007.472559,1011.531538,97.05004319,89.24264985,78.30130276,35.61095736,32.33009963,21.00286617,52.22651022,25.05365878,21.00286617,0.608107452,8.104699291,111.4261563,15.2552,102.5417,9/1/2020,0.145318573,24.49872171,22.02002469
3016,35.64268692,3.85630703,116.8334688,1015.623373,1007.497937,1011.554939,97.25584698,89.62822884,78.55562323,35.741358,32.48912193,20.76302094,46.97415401,24.58960871,20.76302094,0.657061829,8.710970996,120.7959964,15.0445,102.6442,9/1/2020,0.118471726,24.41949021,22.09068167
3017,35.58447248,3.849875879,116.6390884,1015.607071,1007.46266,1011.535659,97.33951923,89.60737875,78.26794111,35.57606064,32.33778047,20.99017075,52.70434452,25.00147405,20.99017075,0.584463762,9.001850934,111.8742397,15.2317,102.7024,9/1/2020,0.162883259,24.8894554,22.04008831
3018,34.57912885,3.68741351,110.9715462,1015.534864,1007.652587,1011.582314,96.30806244,88.69699125,79.34107218,36.13504508,32.88410866,20.51010675,38.04327814,24.06077584,20.51010675,0.582721527,8.371207442,128.2382885,14.8366,101.8596,9/1/2020,-0.002397372,21.82507407,21.60332512
